,director,distributor,genre_bomojo,rating,title,releaseDate,isCult,canontitle,num_theaters,leadActor,runtime_mins,releaseYear,rev_opening_ADJ,rev_totalGross_ADJ,prod_budget_ADJ,CULT_INDEX,is_missing_prodbudgetADJ,genre
4022,Brian Levant,Sony (Revolution),Family Comedy,PG,Are We There Yet?,2005-01-21,0,arewethereyet,2709,Ice Cube,94,2005,24902396.2688,148588660.96,38996415.7706,1.00020387385,0,Family
5069,Terry Gilliam,TriStar,Fantasy Drama,R,The Fisher King,1991-09-20,1,fisherking,1740,Robin Williams,138,1991,4.12639312782E+11,174840999.073,21017093.1379,1.00020381749,1,Fantasy
5013,Barry Levinson,Triumph,Period Drama,R,Avalon,1990-10-05,0,avalon,1740,Aidan Quinn,128,1990,1.06208535065E+11,65690517.8376,8006204.09467,1.00020363819,1,Period
4046,Tom Dey,Buena Vista,Western Comedy,PG-13,Shanghai Noon,2000-05-26,0,shanghainoon,2711,Jackie Chan,110,2000,25265726.7396,149218010.759,76016260.1626,1.00020359607,0,Western
3827,"Anthony Bell, Ben Gluck",Lionsgate,Animation,PG,Alpha and Omega,2010-09-17,0,alphaandomega,2625,Justin Long,88,2010,10017596.6,30379793.07,3813000.83269,1.00020352873,1,Animation
5062,Michael Apted,Fox,Drama,PG-13,Nell,1994-12-16,0,nell,1740,Liam Neeson,113,1994,3.39002563539E+11,147512275.181,17752533.8759,1.00020348773,1,Drama
4284,Joel and Ethan Coen,Focus Features,Comedy,R,Burn After Reading,2008-09-12,0,burnafterreading,2651,George Clooney,97,2008,23115246.2789,88140118.3672,40900498.3674,1.00020343996,0,Comedy
4000,Julie Anne Robinson,Buena Vista,Drama,PG,The Last Song,2010-03-31,0,lastsong,2673,Miley Cyrus,107,2010,17608168.6,76169964.64,21829254.8703,1.00020342114,0,Drama
5072,Alan Parker,Buena Vista,Musical,PG,Evita,1996-12-25,0,evita,1740,Antonio Banderas,130,1996,4.91392398894E+11,190304398.147,83428935.6278,1.0002033992,0,Music
4449,Rawson Marshall Thurber,Fox,Sports Comedy,PG-13,DodgeBall: A True Underdog Story,2004-06-18,0,dodgeball,2694,Vince Vaughn,97,2004,41613271.2387,218947001.25,25198517.7343,1.00020310838,0,Sports
5038,Paul Thomas Anderson,New Line,Drama,R,Boogie Nights,1997-10-10,0,boogienights,1740,Mark Wahlberg,152,1997,1.94474874874E+11,95976299.9752,22242990.6542,1.0002030887,0,Drama
4074,Bille Woodruff,MGM,Comedy,PG-13,Beauty Shop,2005-03-30,0,beautyshop,2659,Queen Latifah,105,2005,17161964.0156,65333386.7711,913978.494624,1.00020307498,1,Comedy
4337,Peter Berg,Universal,Sports Drama,PG-13,Friday Night Lights,2004-10-08,0,fridaynightlights,2667,Billy Bob Thornton,107,2004,28049715.2419,117311144.191,37797776.6014,1.00020306298,0,Sports
3825,Taylor Hackford,Warner Bros.,Romantic Thriller,R,Proof of Life,2000-12-08,0,proofoflife,2705,Russell Crowe,135,2000,16525191.7019,85433105.8764,89837398.374,1.00020305928,0,Romantic
4248,Anthony Hickox,Paramount,Crime,R,Payback,1999-02-05,0,payback,2729,C. Thomas Howell,101,1999,36416138.616,240066381.359,128571428.571,1.00020300957,0,Crime
4249,Brian Helgeland,Paramount,Crime,R,Payback,1999-02-05,0,payback,2729,Mel Gibson,101,1999,36416138.616,240066381.359,128571428.571,1.00020300957,0,Crime
4279,Kevin Lima,Buena Vista,Family Comedy,G,102 Dalmatians,2000-11-22,0,102dalmatians,2704,Glenn Close,104,2000,32188519.166,175476511.528,117479674.797,1.00020299688,0,Family
4272,Mikael Håfström,MGM (Weinstein),Horror,PG-13,1408,2007-06-22,0,1408,2678,John Cusack,94,2007,26014644.5382,114604731.512,28702363.7241,1.00020286611,0,Horror
4093,"Kirk Wise, Gary Trousdale",Buena Vista,Animation,G,The Hunchback of Notre Dame,1996-06-21,0,hunchbackofnotredame,2778,voices of Tom Hulce,91,1996,41022957.3,380777980.927,151688973.869,1.00020281002,0,Animation
4433,Andrzej Bartkowiak,Warner Bros.,Action,R,Cradle 2 the Grave,2003-02-28,0,cradle2thegrave,2625,Jet Li,100,2003,23625699.24,70983278.3803,32336956.5217,1.00020276175,0,Action
5058,Edward Zwick,TriStar,War,R,Glory,1989-12-14,0,glory,1740,Matthew Broderick,118,1989,3.12376156378E+11,129849286.6,15595470.0618,1.00020273254,1,War
3680,Howard Deutch,Warner Bros.,Crime Comedy,PG-13,The Whole Ten Yards,2004-04-09,0,wholetenyards,2654,Matthew Perry,99,2004,9251704.67419,31270636.1218,50397035.4685,1.00020264306,0,Crime
3905,Roger Kumble,Sony / Columbia,Romantic Comedy,R,The Sweetest Thing,2002-04-12,0,sweetestthing,2670,Cameron Diaz,84,2002,13950883.2517,54092219.0335,56887159.5331,1.0002026365,0,Romantic
3819,Steven Brill,Paramount,Comedy,PG-13,Without a Paddle,2004-08-20,0,withoutapaddle,2730,Matthew Lillard,99,2004,18722315.5935,111400011.555,23938591.8475,1.00020260248,0,Comedy
4326,"Gary Trousdale, Kirk Wise",Buena Vista,Animation,G,Beauty and the Beast 3D,2012-01-13,0,beautyandthebeast3d,2625,Paige O'Hara,84,2012,19279917.0759,56167233.634,40427885.7461,1.00020256116,1,Animation
3803,Martha Coolidge,Paramount,Romantic Comedy,PG,The Prince and Me,2004-04-02,0,princeandme,2682,Julia Stiles,111,2004,13017213.4258,53960777.1528,27718369.5077,1.00020255551,0,Romantic
4287,Betty Thomas,Fox,Family Comedy,PG-13,Dr. Dolittle,1998-06-26,0,drdolittle,2777,Eddie Murphy,85,1998,54118021.7217,501526006.442,62947324.0067,1.00020251091,1,Family
5074,Robert Benton,Paramount,Comedy / Drama,R,Nobody's Fool,1994-12-23,0,nobodysfool,1740,Paul Newman,110,1994,4.85490159151E+11,172948068.316,88326585.695,1.00020246966,1,Comedy
5073,Evelyn Purcell,Paramount,Comedy / Drama,R,Nobody's Fool,1994-12-23,0,nobodysfool,1740,Rosanna Arquette,110,1994,4.85490159151E+11,172948068.316,88326585.695,1.00020246966,1,Comedy
4244,Mark Goldblatt,Lions Gate,Action / Crime,R,The Punisher,2004-04-16,0,punisher,2649,Dolph Lundgren,119,2004,19145200.2677,64749854.2534,41577554.2615,1.00020241083,0,Action
4246,Jonathan Hensleigh,Lions Gate,Action / Crime,R,The Punisher,2004-04-16,0,punisher,2649,Thomas Jane,119,2004,19145200.2677,64749854.2534,41577554.2615,1.00020241083,0,Action
4245,Lexi Alexander,Lions Gate,Action / Crime,R,Punisher: War Zone,2004-04-16,0,punisher,2649,Ray Stevenson,119,2004,19145200.2677,64749854.2534,41577554.2615,1.00020241083,0,Action
3950,Walter Salles,Buena Vista,Horror,PG-13,Dark Water,2005-07-08,0,darkwater,2657,Jennifer Connelly,111,2005,13324808.3719,45782628.6663,5746231.44456,1.0002022848,1,Horror
4483,"Jason Friedberg, Aaron Seltzer",Fox,Comedy,PG-13,Meet the Spartans,2008-01-25,0,meetthespartans,2605,Sean Maguire,84,2008,22363020.7606,55834667.4447,27635471.8699,1.00020225911,1,Comedy
3776,Brad Furman,Lionsgate,Crime Drama,R,The Lincoln Lawyer,2011-03-18,0,lincolnlawyer,2707,Matthew McConaughey,119,2011,14343210.9797,68425388.0929,42322585.2342,1.00020216535,0,Crime
3579,"Jason Friedberg, Aaron Seltzer",Lionsgate,Comedy,PG-13,Disaster Movie,2008-08-29,0,disastermovie,2642,Kim Kardashian,90,2008,7053694.13239,20723726.3316,22108377.4959,1.00020212872,0,Comedy
4201,"Quentin Tarantino, Robert Rodriguez",Weinstein / Dimension,Horror,R,Grindhouse,2007-04-06,1,grindhouse,2624,Freddy Rodríguez,191,2007,14632196.9912,39861588.2506,76922334.7805,1.00020206677,0,Horror
3705,Howard Deutch,Warner Bros.,Sports Comedy,PG-13,The Replacements,2000-08-11,0,replacements,2754,Keanu Reeves,118,2000,17871029.4566,117243902.818,69105691.0569,1.00020195289,0,Sports
3336,Rob Minkoff,Sony / Columbia,Family Adventure,PG,Stuart Little,1999-12-17,0,stuartlittle,2878,Geena Davis,84,1999,25771270.668,412355983.649,190000000,1.00020190934,0,Family
4229,Les Mayfield,Sony / Columbia,Action Comedy,PG-13,Blue Streak,1999-09-17,0,bluestreak,2735,Martin Lawrence,94,1999,32962311.096,201763509.31,92857142.8571,1.00020189512,0,Action
4339,Antoine Fuqua,Warner Bros.,Crime Drama,R,Training Day,2001-10-05,0,trainingday,2712,Denzel Washington,122,2001,34551028.7571,179890469.339,22578303.9096,1.0002018361,1,Crime
3512,Mickey Liddell,Freestyle Releasing,Horror,PG-13,The Haunting of Molly Hartley,2008-10-31,0,hauntingofmollyhartley,2652,Haley Bennett,87,2008,6553808.83099,19802113.5513,2485384.73045,1.00020176354,1,Horror
4202,Sam Weisman,MGM,Comedy,PG-13,What's the Worst That Could Happen?,2001-06-01,0,whatstheworstthatcouldhappen,2675,Martin Lawrence,99,2001,19993106.8071,75752200.4999,80632411.0672,1.00020167188,0,Comedy
5060,Joel Coen,Fox,Crime Comedy,PG-13,Raising Arizona,1987-03-13,1,raisingarizona,1740,Nicolas Cage,94,1987,2.90371778371E+11,110582209.76,13226684.9188,1.00020154568,1,Crime
4532,M. Night Shyamalan,Buena Vista,Thriller,PG-13,Unbreakable,2000-11-22,1,unbreakable,2708,Bruce Willis,106,2000,49101512.2981,248999385.418,103658536.585,1.00020151124,0,Thriller
3986,Alexandre Aja,Fox,Horror,R,Mirrors,2008-08-15,0,mirrors,2664,Kiefer Sutherland,110,2008,13487607.7352,44820338.2265,5625452.24685,1.00020136135,1,Horror
4186,James Cameron,Paramount,Romance,PG-13,Titanic 3D,2012-04-04,0,titanic3d,2674,Leonardo DiCaprio,194,2012,18773314.7772,68277841.5297,18659024.1905,1.00020134605,0,Romance
4221,Bryan Singer,United Artists,Thriller,PG-13, Valkyrie,2008-12-25,0,valkyrie,2711,Tom Cruise,120,2008,25410101.4169,121322971.34,82906415.6096,1.00020128983,0,Thriller
4316,Cameron Crowe,Paramount,Thriller,R,Vanilla Sky,2001-12-14,0,vanillasky,2742,Tom Cruise,135,2001,38327347.2214,236197712.348,91383399.2095,1.00020128578,0,Thriller
3833,Garry Marshall,Buena Vista,Comedy,PG-13,Raising Helen,2004-05-28,0,raisinghelen,2717,Kate Hudson,114,2004,15202648.7516,71790376.2226,9010507.15086,1.00020124675,1,Comedy
5075,Stephen Frears,Warner Bros.,Period Drama,R,Dangerous Liaisons,1988-12-23,0,dangerousliaisons,1740,Michelle Pfeiffer,119,1988,4.85477833236E+11,151834241.036,17965748.3087,1.00020107993,1,Period
4078,John Hamburg,Paramount (DreamWorks),Comedy,R,"I Love You, Man",2009-03-20,0,iloveyouman,2711,Paul Rudd,110,2009,20374948.88,93496114.2361,11734822.3719,1.00020107674,1,Comedy
4223,Sydney Pollack,Sony / Columbia,Romance,R,Random Hearts,1999-10-08,0,randomhearts,2697,Harrison Ford,133,1999,22329595.86,92764270.0464,91428571.4286,1.00020093984,0,Romance
5077,Randa Haines,Buena Vista,Drama,PG-13,The Doctor,1991-07-26,0,doctor,1740,William Hurt,123,1991,5.35210516639E+11,159088650.274,18764474.6045,1.00020085013,1,Drama
5086,Martin Ritt,Columbia,Romantic Comedy,PG-13,Murphy's Romance,1985-12-27,0,murphysromance,1740,Sally Field,107,1985,6.66752564811E+11,185498454.482,21783540.5136,1.00020084918,1,Romantic
3849,Renny Harlin,Sony / Screen Gems,Horror,PG-13,The Covenant,2006-09-08,0,covenant,2681,Steven Strait,97,2006,11685244.56,40738174.488,5113096.46682,1.0002007545,1,Horror
4235,Keenen Ivory Wayans,Sony / Columbia,Comedy,PG-13,White Chicks,2004-06-23,0,whitechicks,2726,Shawn Wayans,109,2004,27230080.2968,135649822.499,46617257.8084,1.00020056925,0,Comedy
3952,Richard Donner,Warner Bros.,Action Thriller,PG-13,16 Blocks,2006-03-03,0,16blocks,2706,Bruce Willis,105,2006,15648943.2,64286093.6784,63750000,1.00020048038,1,Action
5047,Aaron Norris,Triumph,Family Adventure,PG,Sidekicks,1993-04-09,0,sidekicks,1740,Chuck Norris,101,1993,1.92512812463E+11,75238470.1514,9010592.47103,1.00020047673,1,Family
3733,Joe Charbanic,Universal,Thriller,R,The Watcher,2000-09-08,0,watcher,2742,James Spader,97,2000,14670658.6981,75861359.5047,41463414.6341,1.00020045229,0,Thriller
4309,William Malone,Warner Bros.,Horror,R,House on Haunted Hill,1999-10-29,0,houseonhauntedhill,2710,Geoffrey Rush,95,1999,27363390.912,120277660.438,52857142.8571,1.00020039995,0,Horror
3810,Philip Kaufman,Paramount,Thriller,R,Twisted,2004-02-27,0,twisted,2703,Ashley Judd,97,2004,12322400.8742,48257806.1865,62996294.3356,1.00020039225,0,Thriller
3811,Seth Michael Donsky,Paramount,Thriller,R,Twisted,2004-02-27,0,twisted,2703,William Hickey,97,2004,12322400.8742,48257806.1865,62996294.3356,1.00020039225,0,Thriller
4004,Roger Kumble,Buena Vista,Comedy,G,College Road Trip,2008-03-07,0,collegeroadtrip,2706,Raven-Symoné,83,2008,16436644.369,66607325.7483,8359970.2396,1.00020028216,1,Comedy
4177,Nicholas Stoller,Universal,Comedy,R,Get Him to the Greek,2010-06-04,0,gethimtothegreek,2697,Jonah Hill,109,2010,19328050.5,73779114.75,43658509.7406,1.00020013904,0,Comedy
